word1	word2	relation	label
creature	giraffe	rhyper	-1
cedar	plant	hyper	1
cedar	evergreen	hyper	1
cedar	sense	other	0
tree	cedar	rhyper	-1
snake	creature	hyper	1
snake	animal	hyper	1
snake	reptile	hyper	1
snake	beast	hyper	1
tooth	snake	other	0
alligator	snake	other	0
vertebrate	snake	rhyper	-1
snake	establishment	other	0
desk	artefact	hyper	1
desk	furniture	hyper	1
desk	furnishing	hyper	1
desk	object	hyper	1
artifact	desk	rhyper	-1
wood	desk	other	0
sofa	desk	other	0
desk	beating	other	0
falcon	creature	hyper	1
falcon	predator	hyper	1
falcon	vertebrate	hyper	1
falcon	bird	hyper	1
liberalization	falcon	other	0
plumage	falcon	other	0
falcon	claw	other	0
falcon	underdog	other	0
donkey	herbivore	hyper	1
donkey	creature	hyper	1
donkey	vertebrate	hyper	1
donkey	beast	hyper	1
donkey	hair	other	0
mammal	donkey	rhyper	-1
snout	donkey	other	0
artillery	donkey	other	0
frigate	vessel	hyper	1
frigate	artifact	hyper	1
frigate	vehicle	hyper	1
frigate	ship	hyper	1
frigate	craft	hyper	1
artefact	frigate	rhyper	-1
timetable	frigate	other	0
starboard	frigate	other	0
frigate	raft	other	0
jet	frigate	other	0
onion	vegetable	hyper	1
onion	produce	hyper	1
food	onion	rhyper	-1
onion	dresser	other	0
sofa	artefact	hyper	1
sofa	artifact	hyper	1
sofa	object	hyper	1
sofa	furniture	hyper	1
furnishing	sofa	rhyper	-1
sofa	declaration	other	0
wood	sofa	other	0
bed	sofa	other	0
gun	object	hyper	1
gun	arm	hyper	1
gun	artifact	hyper	1
gun	artefact	hyper	1
device	gun	rhyper	-1
bazooka	gun	other	0
butt	gun	other	0
gun	shotgun	other	0
glove	accessory	hyper	1
glove	clothes	hyper	1
glove	artifact	hyper	1
glove	good	hyper	1
glove	apparel	hyper	1
glove	garment	hyper	1
glove	artefact	hyper	1
glove	wear	hyper	1
glove	object	hyper	1
glove	bonfire	other	0
jacket	glove	other	0
covering	glove	rhyper	-1
clothing	glove	rhyper	-1
commodity	glove	rhyper	-1
crust	glove	other	0
glove	historian	other	0
glove	sweatshirt	other	0
dress	glove	other	0
bag	object	hyper	1
bag	luggage	hyper	1
bag	artefact	hyper	1
bag	accessory	hyper	1
bag	incontinence	other	0
bottom	bag	other	0
circumcision	bag	other	0
artifact	bag	rhyper	-1
hatchet	weapon	hyper	1
hatchet	cutlery	hyper	1
hatchet	utensil	hyper	1
hatchet	artifact	hyper	1
hatchet	artefact	hyper	1
tool	hatchet	rhyper	-1
hatchet	lesson	other	0
hatchet	iron	other	0
hatchet	pincer	other	0
scissors	hatchet	other	0
saxophone	instrument	hyper	1
saxophone	artefact	hyper	1
saxophone	object	hyper	1
saxophone	artifact	hyper	1
key	saxophone	other	0
device	saxophone	rhyper	-1
drum	saxophone	other	0
saxophone	fare	other	0
car	artifact	hyper	1
car	conveyance	hyper	1
car	vehicle	hyper	1
car	artefact	hyper	1
car	goody	other	0
trunk	car	other	0
transport	car	rhyper	-1
bicycle	car	other	0
tanker	artefact	hyper	1
tanker	craft	hyper	1
tanker	artifact	hyper	1
tanker	ship	hyper	1
van	tanker	other	0
tanker	hull	other	0
tanker	ferry	other	0
racism	tanker	other	0
motorcycle	vehicle	hyper	1
motorcycle	artefact	hyper	1
motorcycle	transport	hyper	1
motorcycle	conveyance	hyper	1
motorcycle	sauce	other	0
artifact	motorcycle	rhyper	-1
ferry	motorcycle	other	0
oil	motorcycle	other	0
turtle	amphibian	hyper	1
turtle	animal	hyper	1
turtle	vertebrate	hyper	1
turtle	beast	hyper	1
turtle	reptile	hyper	1
turtle	creature	hyper	1
salary	turtle	other	0
pet	turtle	rhyper	-1
frog	turtle	other	0
turtle	eye	other	0
scale	turtle	other	0
food	turtle	rhyper	-1
villa	construction	hyper	1
villa	house	hyper	1
villa	dwelling	hyper	1
villa	edifice	hyper	1
villa	lodging	hyper	1
villa	habitation	hyper	1
villa	site	hyper	1
villa	accommodation	hyper	1
villa	structure	hyper	1
inn	villa	other	0
building	villa	rhyper	-1
villa	speed	other	0
housing	villa	rhyper	-1
villa	wood	other	0
warehouse	villa	other	0
roof	villa	other	0
villa	pub	other	0
ceiling	villa	other	0
crow	bird	hyper	1
crow	animal	hyper	1
crow	creature	hyper	1
crow	vertebrate	hyper	1
crow	coward	other	0
scavenger	crow	rhyper	-1
swan	crow	other	0
beak	crow	other	0
acacia	tree	hyper	1
root	acacia	other	0
grasshopper	insect	hyper	1
grasshopper	creature	hyper	1
grasshopper	bug	hyper	1
grasshopper	childhood	other	0
leg	grasshopper	other	0
moth	grasshopper	other	0
library	edifice	hyper	1
library	site	hyper	1
library	building	hyper	1
library	construction	hyper	1
elevator	library	other	0
institution	library	rhyper	-1
structure	library	rhyper	-1
problem	library	other	0
goose	waterfowl	hyper	1
goose	bird	hyper	1
goose	creature	hyper	1
goose	animal	hyper	1
plumage	goose	other	0
hawk	goose	other	0
vertebrate	goose	rhyper	-1
goose	continuum	other	0
lion	vertebrate	hyper	1
lion	predator	hyper	1
lion	carnivore	hyper	1
lion	creature	hyper	1
lion	mammal	hyper	1
rat	lion	other	0
lion	mouth	other	0
implementer	lion	other	0
beast	lion	rhyper	-1
paw	lion	other	0
turnip	root	hyper	1
turnip	food	hyper	1
turnip	produce	hyper	1
carrot	turnip	other	0
bulb	turnip	other	0
turnip	dyslexia	other	0
beetle	animal	hyper	1
beetle	insect	hyper	1
beetle	bug	hyper	1
head	beetle	other	0
creature	beetle	rhyper	-1
wasp	beetle	other	0
cathedral	building	hyper	1
cathedral	church	hyper	1
cathedral	site	hyper	1
cathedral	edifice	hyper	1
cathedral	structure	hyper	1
cathedral	pulse	other	0
cathedral	pub	other	0
stair	cathedral	other	0
construction	cathedral	rhyper	-1
cathedral	candle	other	0
hammer	tool	hyper	1
hammer	artifact	hyper	1
hammer	utensil	hyper	1
hammer	object	hyper	1
scissors	hammer	other	0
artefact	hammer	rhyper	-1
hammer	nausea	other	0
wood	hammer	other	0
blouse	good	hyper	1
blouse	wear	hyper	1
blouse	object	hyper	1
blouse	clothes	hyper	1
blouse	garment	hyper	1
blouse	apparel	hyper	1
blouse	commodity	hyper	1
blouse	clothing	hyper	1
artefact	blouse	rhyper	-1
button	blouse	other	0
blouse	spider	other	0
blouse	arm	other	0
hat	blouse	other	0
silk	blouse	other	0
artifact	blouse	rhyper	-1
cloak	blouse	other	0
saw	object	hyper	1
saw	utensil	hyper	1
saw	tool	hyper	1
saw	artifact	hyper	1
saw	herat	other	0
steel	saw	other	0
artefact	saw	rhyper	-1
fork	saw	other	0
pigeon	creature	hyper	1
pigeon	animal	hyper	1
pigeon	vertebrate	hyper	1
bird	pigeon	rhyper	-1
owl	pigeon	other	0
plume	pigeon	other	0
revolver	object	hyper	1
revolver	weapon	hyper	1
revolver	arm	hyper	1
revolver	pistol	hyper	1
revolver	gun	hyper	1
revolver	artifact	hyper	1
revolver	device	hyper	1
muzzle	revolver	other	0
revolver	merchandising	other	0
revolver	steel	other	0
kalashnikov	revolver	other	0
artefact	revolver	rhyper	-1
revolver	bazooka	other	0
firearm	revolver	rhyper	-1
mug	artifact	hyper	1
mug	artefact	hyper	1
mug	kitchenware	hyper	1
mug	container	hyper	1
mug	object	hyper	1
mug	whisky	other	0
exterior	mug	other	0
box	mug	other	0
mug	bottle	other	0
vessel	mug	rhyper	-1
washer	artefact	hyper	1
washer	appliance	hyper	1
washer	object	hyper	1
washer	commodity	hyper	1
washer	device	hyper	1
washer	steel	other	0
washer	refrigerator	other	0
good	washer	rhyper	-1
washer	affluence	other	0
artifact	washer	rhyper	-1
pistol	artifact	hyper	1
pistol	arm	hyper	1
pistol	artefact	hyper	1
pistol	object	hyper	1
pistol	weapon	hyper	1
pistol	device	hyper	1
pistol	initiative	other	0
gun	pistol	rhyper	-1
priest	pistol	other	0
pistol	cartridge	other	0
pistol	hatchet	other	0
holder	pistol	other	0
carp	animal	hyper	1
carp	seafood	hyper	1
carp	vertebrate	hyper	1
carp	creature	hyper	1
trouble	carp	other	0
carp	trespasser	other	0
cod	carp	other	0
fish	carp	rhyper	-1
knife	tool	hyper	1
knife	kitchenware	hyper	1
knife	weapon	hyper	1
knife	utensil	hyper	1
knife	artefact	hyper	1
knife	tableware	hyper	1
knife	fork	other	0
artifact	knife	rhyper	-1
ketchup	knife	other	0
iron	knife	other	0
cutlery	knife	rhyper	-1
knife	foreboding	other	0
trout	fish	hyper	1
trout	vertebrate	hyper	1
trout	food	hyper	1
trout	creature	hyper	1
animal	trout	rhyper	-1
seafood	trout	rhyper	-1
trout	phobia	other	0
whale	trout	other	0
eagle	vertebrate	hyper	1
eagle	creature	hyper	1
eagle	raptor	hyper	1
eagle	predator	hyper	1
animal	eagle	rhyper	-1
bird	eagle	rhyper	-1
claw	eagle	other	0
generation	eagle	other	0
cauliflower	food	hyper	1
cauliflower	produce	hyper	1
spinach	cauliflower	other	0
cauliflower	rainbow	other	0
salmon	fish	hyper	1
salmon	animal	hyper	1
salmon	food	hyper	1
salmon	vertebrate	hyper	1
salmon	head	other	0
cod	salmon	other	0
seafood	salmon	rhyper	-1
demonstration	salmon	other	0
corn	vegetable	hyper	1
corn	food	hyper	1
corn	cereal	hyper	1
corn	produce	hyper	1
ear	corn	other	0
grain	corn	rhyper	-1
onion	corn	other	0
corn	infertility	other	0
pub	institution	hyper	1
pub	structure	hyper	1
pub	edifice	hyper	1
pub	construction	hyper	1
pub	deity	other	0
inn	pub	other	0
building	pub	rhyper	-1
brick	pub	other	0
guitar	instrument	hyper	1
guitar	device	hyper	1
guitar	artifact	hyper	1
guitar	artefact	hyper	1
bottom	guitar	other	0
object	guitar	rhyper	-1
guitar	liturgy	other	0
bagpipe	guitar	other	0
cockroach	pest	hyper	1
cockroach	bug	hyper	1
cockroach	creature	hyper	1
cockroach	insect	hyper	1
animal	cockroach	rhyper	-1
leg	cockroach	other	0
cockroach	bust	other	0
mosquito	cockroach	other	0
axe	tool	hyper	1
axe	cutlery	hyper	1
axe	artefact	hyper	1
axe	artifact	hyper	1
axe	utensil	hyper	1
axe	clearance	other	0
spoon	axe	other	0
launcher	axe	other	0
weapon	axe	rhyper	-1
object	axe	rhyper	-1
goldfish	vertebrate	hyper	1
goldfish	pet	hyper	1
goldfish	creature	hyper	1
goldfish	animal	hyper	1
salmon	goldfish	other	0
fish	goldfish	rhyper	-1
goldfish	guitar	other	0
gill	goldfish	other	0
sieve	object	hyper	1
sieve	kitchenware	hyper	1
sieve	tool	hyper	1
sieve	artifact	hyper	1
sieve	filter	hyper	1
spade	sieve	other	0
sieve	glass	other	0
artefact	sieve	rhyper	-1
metal	sieve	other	0
sieve	frame	other	0
box	artifact	hyper	1
box	artefact	hyper	1
box	container	hyper	1
wood	box	other	0
box	mortality	other	0
object	box	rhyper	-1
dishwasher	good	hyper	1
dishwasher	object	hyper	1
dishwasher	appliance	hyper	1
dishwasher	artefact	hyper	1
dishwasher	device	hyper	1
dishwasher	fridge	other	0
inside	dishwasher	other	0
availability	dishwasher	other	0
dishwasher	masonry	other	0
washer	dishwasher	other	0
cow	beast	hyper	1
cow	cattle	hyper	1
cow	animal	hyper	1
cow	mammal	hyper	1
cow	creature	hyper	1
cow	ruminant	hyper	1
eye	cow	other	0
cow	petition	other	0
herbivore	cow	rhyper	-1
vertebrate	cow	rhyper	-1
buffalo	cow	other	0
cow	hoof	other	0
restaurant	construction	hyper	1
restaurant	edifice	hyper	1
restaurant	structure	hyper	1
inn	restaurant	other	0
building	restaurant	rhyper	-1
restaurant	battle	other	0
plum	produce	hyper	1
plum	fruit	hyper	1
plum	gunman	other	0
pear	plum	other	0
grenade	object	hyper	1
grenade	arm	hyper	1
grenade	device	hyper	1
grenade	weapon	hyper	1
artefact	grenade	rhyper	-1
grenade	glucose	other	0
shell	grenade	other	0
artifact	grenade	rhyper	-1
cod	fish	hyper	1
cod	vertebrate	hyper	1
cod	food	hyper	1
cod	seafood	hyper	1
cod	gender	other	0
creature	cod	rhyper	-1
tail	cod	other	0
whale	cod	other	0
cranberry	produce	hyper	1
cranberry	berry	hyper	1
cranberry	fruit	hyper	1
juice	cranberry	other	0
food	cranberry	rhyper	-1
cranberry	quarantine	other	0
garlic	seasoning	hyper	1
garlic	spice	hyper	1
garlic	food	hyper	1
garlic	produce	hyper	1
clove	garlic	other	0
garlic	hallway	other	0
cucumber	garlic	other	0
vegetable	garlic	rhyper	-1
castle	fortification	hyper	1
castle	lodging	hyper	1
castle	building	hyper	1
castle	home	hyper	1
castle	defence	hyper	1
castle	habitation	hyper	1
castle	edifice	hyper	1
castle	site	hyper	1
castle	structure	hyper	1
castle	house	hyper	1
castle	defense	hyper	1
castle	housing	hyper	1
castle	restaurant	other	0
villa	castle	other	0
hotel	castle	other	0
guy	castle	other	0
castle	season	other	0
construction	castle	rhyper	-1
gate	castle	other	0
castle	door	other	0
castle	necessity	other	0
visitor	castle	other	0
dwelling	castle	rhyper	-1
accommodation	castle	rhyper	-1
sweater	clothing	hyper	1
sweater	good	hyper	1
sweater	covering	hyper	1
sweater	apparel	hyper	1
sweater	garment	hyper	1
sweater	wear	hyper	1
sweater	artefact	hyper	1
sweater	object	hyper	1
pattern	sweater	other	0
fold	sweater	other	0
ridge	sweater	other	0
stocking	sweater	other	0
artifact	sweater	rhyper	-1
commodity	sweater	rhyper	-1
sweater	underpants	other	0
sweater	button	other	0
scarf	artefact	hyper	1
scarf	apparel	hyper	1
scarf	object	hyper	1
scarf	artifact	hyper	1
scarf	accessory	hyper	1
scarf	commodity	hyper	1
scarf	covering	hyper	1
scarf	garment	hyper	1
scarf	good	hyper	1
scarf	fabric	other	0
wear	scarf	rhyper	-1
clothing	scarf	rhyper	-1
fraction	scarf	other	0
cashmere	scarf	other	0
scarf	poem	other	0
logo	scarf	other	0
scarf	trouser	other	0
scarf	garrison	other	0
owl	predator	hyper	1
owl	vertebrate	hyper	1
owl	raptor	hyper	1
owl	creature	hyper	1
vulture	owl	other	0
animal	owl	rhyper	-1
bird	owl	rhyper	-1
owl	veracity	other	0
shovel	artifact	hyper	1
shovel	object	hyper	1
shovel	utensil	hyper	1
shovel	artefact	hyper	1
end	shovel	other	0
tool	shovel	rhyper	-1
spade	shovel	other	0
shovel	smile	other	0
dagger	object	hyper	1
dagger	device	hyper	1
dagger	artefact	hyper	1
dagger	artifact	hyper	1
authorisation	dagger	other	0
arm	dagger	rhyper	-1
dagger	pommel	other	0
guard	dagger	other	0
apple	food	hyper	1
apple	produce	hyper	1
plum	apple	other	0
fruit	apple	rhyper	-1
spear	arm	hyper	1
spear	object	hyper	1
spear	device	hyper	1
spear	artefact	hyper	1
wizard	spear	other	0
artifact	spear	rhyper	-1
dagger	spear	other	0
end	spear	other	0
wasp	animal	hyper	1
wasp	insect	hyper	1
wasp	occupation	other	0
antenna	wasp	other	0
coconut	fruit	hyper	1
coconut	food	hyper	1
produce	coconut	rhyper	-1
peach	coconut	other	0
lettuce	vegetable	hyper	1
lettuce	produce	hyper	1
lettuce	bond	other	0
food	lettuce	rhyper	-1
table	artefact	hyper	1
table	furniture	hyper	1
table	artifact	hyper	1
table	furnishing	hyper	1
table	functioning	other	0
chair	table	other	0
cloth	table	other	0
object	table	rhyper	-1
herring	creature	hyper	1
herring	animal	hyper	1
herring	food	hyper	1
herring	seafood	hyper	1
londoner	herring	other	0
fish	herring	rhyper	-1
vertebrate	herring	rhyper	-1
scale	herring	other	0
tuna	food	hyper	1
tuna	seafood	hyper	1
tuna	creature	hyper	1
tuna	animal	hyper	1
tuna	goldfish	other	0
language	tuna	other	0
vertebrate	tuna	rhyper	-1
dolphin	tuna	other	0
lime	fruit	hyper	1
lime	produce	hyper	1
lime	food	hyper	1
lime	amazement	other	0
citrus	lime	rhyper	-1
peach	lime	other	0
sheep	beast	hyper	1
sheep	creature	hyper	1
sheep	animal	hyper	1
sheep	herbivore	hyper	1
sheep	mammal	hyper	1
freight	sheep	other	0
sheep	snout	other	0
sheep	cow	other	0
vertebrate	sheep	rhyper	-1
rabbit	sheep	other	0
horse	herbivore	hyper	1
horse	beast	hyper	1
horse	mammal	hyper	1
horse	vertebrate	hyper	1
bit	horse	other	0
horse	head	other	0
horse	circle	other	0
creature	horse	rhyper	-1
van	conveyance	hyper	1
van	transport	hyper	1
van	vehicle	hyper	1
van	artefact	hyper	1
artifact	van	rhyper	-1
van	crime	other	0
windshield	van	other	0
helicopter	van	other	0
jet	plane	hyper	1
jet	artifact	hyper	1
jet	aeroplane	hyper	1
jet	vehicle	hyper	1
jet	craft	hyper	1
jet	conveyance	hyper	1
jet	aircraft	hyper	1
jet	artefact	hyper	1
transport	jet	rhyper	-1
car	jet	other	0
airplane	jet	rhyper	-1
jet	color	other	0
durability	jet	other	0
jet	window	other	0
windshield	jet	other	0
jet	ambulance	other	0
spinach	food	hyper	1
spinach	vegetable	hyper	1
produce	spinach	rhyper	-1
iron	spinach	other	0
alligator	reptile	hyper	1
alligator	creature	hyper	1
alligator	predator	hyper	1
alligator	beast	hyper	1
alligator	carnivore	hyper	1
turtle	alligator	other	0
alligator	eye	other	0
alligator	frog	other	0
alligator	courthouse	other	0
animal	alligator	rhyper	-1
hospital	structure	hyper	1
hospital	building	hyper	1
hospital	institution	hyper	1
hospital	edifice	hyper	1
construction	hospital	rhyper	-1
elephant	hospital	other	0
site	hospital	rhyper	-1
hospital	patient	other	0
oak	tree	hyper	1
elm	oak	other	0
parsley	food	hyper	1
parsley	vegetable	hyper	1
parsley	produce	hyper	1
parsley	seasoning	hyper	1
herb	parsley	rhyper	-1
carrot	parsley	other	0
parsley	minibus	other	0
leaf	parsley	other	0
frog	animal	hyper	1
frog	beast	hyper	1
frog	creature	hyper	1
frog	amphibian	hyper	1
frog	force	other	0
toad	frog	other	0
vertebrate	frog	rhyper	-1
eye	frog	other	0
mackerel	fish	hyper	1
mackerel	vertebrate	hyper	1
mackerel	seafood	hyper	1
mackerel	food	hyper	1
pharaoh	mackerel	other	0
creature	mackerel	rhyper	-1
animal	mackerel	rhyper	-1
mackerel	dolphin	other	0
beet	root	hyper	1
beet	produce	hyper	1
beet	vegetable	hyper	1
beet	clinician	other	0
food	beet	rhyper	-1
leaf	beet	other	0
helicopter	artefact	hyper	1
helicopter	aircraft	hyper	1
helicopter	artifact	hyper	1
helicopter	craft	hyper	1
helicopter	conveyance	hyper	1
helicopter	top	other	0
helicopter	orientation	other	0
vehicle	helicopter	rhyper	-1
truck	helicopter	other	0
hymn	helicopter	other	0
banana	fruit	hyper	1
banana	food	hyper	1
peel	banana	other	0
pineapple	banana	other	0
fork	cutlery	hyper	1
fork	artifact	hyper	1
fork	utensil	hyper	1
fork	artefact	hyper	1
fork	tool	hyper	1
fork	object	hyper	1
kitchenware	fork	rhyper	-1
hammer	fork	other	0
fork	hatchet	other	0
plastic	fork	other	0
fork	turnkey	other	0
fork	tooth	other	0
squirrel	rodent	hyper	1
squirrel	vertebrate	hyper	1
squirrel	creature	hyper	1
squirrel	animal	hyper	1
beast	squirrel	rhyper	-1
rabbit	squirrel	other	0
ear	squirrel	other	0
squirrel	goat	other	0
bus	artefact	hyper	1
bus	conveyance	hyper	1
bus	artifact	hyper	1
bus	vehicle	hyper	1
transport	bus	rhyper	-1
battleship	bus	other	0
metal	bus	other	0
bus	contracting	other	0
cypress	plant	hyper	1
cypress	tree	hyper	1
birch	cypress	other	0
evergreen	cypress	rhyper	-1
hotel	lodging	hyper	1
hotel	edifice	hyper	1
hotel	accommodation	hyper	1
hotel	building	hyper	1
construction	hotel	rhyper	-1
hotel	pub	other	0
store	hotel	other	0
tightrope	hotel	other	0
missile	arm	hyper	1
missile	weapon	hyper	1
missile	artifact	hyper	1
missile	rocket	hyper	1
missile	artefact	hyper	1
missile	vehicle	hyper	1
object	missile	rhyper	-1
missile	warhead	other	0
missile	grenade	other	0
engine	missile	other	0
scholar	missile	other	0
dagger	missile	other	0
