word1	word2	pos	label	score	fold
plaque	memorial	N	hyp-1	4.33	train
payment	rent	N	r-hyp-4	2.42	train
thesis	statement	N	hyp-4	3.70	train
jigsaw	tool	N	hyp-3	4.67	train
destiny	fate	N	syn	4.29	train
eagle	bird	N	hyp-2	5.90	train
chisel	tool	N	hyp-4	5.85	train
hundred	amount	N	hyp-4	4.80	train
plum	tree	N	hyp-3	3.75	train
poet	person	N	hyp-3	4.67	train
silk	cotton	N	cohyp	1.30	train
assignment	task	N	hyp-1	5.60	train
supper	dinosaur	N	no-rel	0.14	train
class	group	N	hyp-2	4.08	train
diamond	gem	N	hyp-1	5.67	train
wall	barrier	N	hyp-2	5.36	train
mug	cup	N	cohyp	5.58	train
vacation	holiday	N	syn	5.10	train
caffeine	problem	N	no-rel	2.08	train
heel	foot	N	mero	1.31	train
rabbit	food	N	hyp-3	3.50	train
rear	front	N	ant	0.58	train
golf	game	N	hyp-3	5.00	train
dime	penny	N	cohyp	1.54	train
effect	reaction	N	r-hyp-2	2.08	train
quail	animal	N	hyp-4	5.46	train
shutter	camera	N	mero	0.20	train
almanac	book	N	hyp-3	5.54	train
duty	service	N	cohyp	2.69	train
galaxy	universe	N	mero	2.23	train
statue	art	N	hyp-3	5.69	train
starboard	port	N	ant	1.92	train
drawer	bureau	N	mero	1.31	train
purse	waiter	N	no-rel	0.23	train
drawer	dresser	N	mero	2.08	train
hostage	captive	N	hyp-1	5.58	train
scene	picture	N	syn	3.60	train
credit	blackberry	N	no-rel	0.09	train
group	gang	N	r-hyp-4	3.40	train
wife	ring	N	no-rel	0.10	train
lease	contract	N	hyp-1	4.92	train
puppy	animal	N	hyp-3	5.30	train
elk	deer	N	hyp-1	3.54	train
science	geology	N	r-hyp-3	0.33	train
stud	horse	N	hyp-3	3.46	train
veal	food	N	hyp-2	5.38	train
shape	sphere	N	r-hyp-2	1.54	train
milk	butter	N	cohyp	1.31	train
phone	device	N	hyp-4	5.54	train
caption	heading	N	hyp-3	3.00	train
barrel	gun	N	mero	1.46	train
knuckle	finger	N	mero	1.69	train
agency	group	N	hyp-4	3.69	train
land	domain	N	hyp-1	3.54	train
athlete	jock	N	syn	4.22	train
banana	fruit	N	hyp-2	5.83	train
hinge	gate	N	mero	1.79	train
restroom	communication	N	no-rel	0.14	train
reptile	alligator	N	r-hyp-3	0.20	train
way	direction	N	syn	4.00	train
elephant	animal	N	hyp-4	5.90	train
cabbage	vegetable	N	hyp-2	5.91	train
message	note	N	r-hyp-3	3.64	train
cotton	fabric	N	hyp-1	5.64	train
crook	burglar	N	r-hyp-2	2.50	train
leather	suede	N	r-hyp-1	2.17	train
caravan	vehicle	N	hyp-4	5.00	train
staff	school	N	mero	0.45	train
wasp	bee	N	cohyp	2.21	train
store	shop	N	syn	4.00	train
kiwi	fruit	N	hyp-2	6.00	train
rum	alcohol	N	hyp-2	5.62	train
tongue	mouth	N	mero	0.45	train
tutu	skirt	N	hyp-1	4.20	train
horse	team	N	no-rel	0.36	train
architecture	water	N	no-rel	0.00	train
hint	suggestion	N	hyp-1	5.25	train
kite	bird	N	hyp-3	2.92	train
anteater	animal	N	hyp-4	5.86	train
pea	vegetable	N	hyp-2	4.71	train
ice	glacier	N	mero	2.15	train
chalk	crayon	N	cohyp	0.77	train
journal	notebook	N	cohyp	3.91	train
mouth	face	N	mero	1.82	train
witch	woman	N	hyp-2	3.25	train
society	group	N	hyp-2	4.36	train
pavement	surface	N	hyp-3	5.15	train
sculpture	drawing	N	cohyp	0.69	train
winner	loser	N	ant	0.33	train
fin	fish	N	mero	0.33	train
siren	signal	N	hyp-2	4.92	train
home	palace	N	r-hyp-3	1.77	train
leg	arm	N	cohyp	0.57	train
nucleus	cell	N	mero	1.23	train
disbelief	belief	N	ant	3.00	train
brother	relation	N	hyp-3	5.69	train
caffeine	coffee	N	mero	1.46	train
autumn	season	N	hyp-1	5.86	train
parsley	sage	N	cohyp	0.43	train
six	number	N	hyp-3	6.00	train
saxophone	instrument	N	hyp-4	6.00	train
rabbit	synagogue	N	no-rel	0.08	train
bug	insect	N	hyp-1	5.36	train
parent	relation	N	hyp-4	5.56	train
parsley	food	N	hyp-4	5.25	train
newspaper	officer	N	no-rel	0.15	train
stalk	stem	N	syn	4.00	train
courage	grit	N	r-hyp-2	3.00	train
geology	thought	N	no-rel	1.38	train
skyscraper	meeting	N	no-rel	0.27	train
professor	faculty	N	mero	3.77	train
curve	superstition	N	no-rel	0.36	train
biology	study	N	hyp-4	5.54	train
governor	politician	N	hyp-1	4.85	train
twelve	dozen	N	syn	5.00	train
hypothesis	theory	N	mero	3.60	train
quilt	blanket	N	cohyp	4.77	train
coat	fireplace	N	no-rel	0.29	train
empathy	feeling	N	hyp-2	5.31	train
diamond	crystal	N	hyp-3	3.92	train
doctor	surgeon	N	r-hyp-1	2.43	train
berry	cherry	N	cohyp	1.25	train
circle	line	N	cohyp	2.20	train
activity	movement	N	r-hyp-4	3.75	train
gang	group	N	hyp-4	5.55	train
medicine	drug	N	hyp-1	3.83	train
dish	food	N	hyp-2	1.15	train
wart	mole	N	cohyp	2.58	train
lemon	fruit	N	hyp-3	6.00	train
flower	offense	N	no-rel	0.38	train
pavement	road	N	mero	3.44	train
river	lord	N	no-rel	0.10	train
poet	writer	N	hyp-1	5.70	train
snail	courage	N	no-rel	0.15	train
night	day	N	ant	1.42	train
football	basketball	N	cohyp	0.86	train
spatula	utensil	N	hyp-4	5.85	train
dictator	ruler	N	hyp-1	5.92	train
meaning	nonsense	N	cohyp	0.73	train
tip	point	N	hyp-2	3.55	train
intellect	knowledge	N	hyp-3	3.64	train
follower	leader	N	ant	0.33	train
doughnut	food	N	hyp-4	5.82	train
commercial	advertisement	N	hyp-1	5.23	train
human	man	N	syn	1.85	train
leadership	ability	N	hyp-1	5.08	train
pill	drug	N	hyp-3	4.15	train
essay	paragraph	N	cohyp	1.43	train
chemistry	science	N	hyp-2	6.00	train
drawer	desk	N	mero	0.62	train
father	ancestor	N	hyp-4	3.90	train
lung	organ	N	hyp-3	5.75	train
lot	quantity	N	hyp-3	5.00	train
alley	street	N	hyp-1	5.36	train
corporation	business	N	hyp-2	5.38	train
rummy	game	N	hyp-2	5.17	train
eyebrow	face	N	mero	0.29	train
diamond	pearl	N	cohyp	0.45	train
vanilla	flavor	N	hyp-1	5.69	train
heroine	woman	N	hyp-1	4.85	train
monument	memorial	N	syn	5.25	train
chimpanzee	primate	N	hyp-4	6.00	train
meaning	liberty	N	no-rel	0.67	train
bread	food	N	hyp-3	5.42	train
vocabulary	speech	N	mero	4.15	train
tangerine	nucleus	N	no-rel	0.31	train
person	proprietor	N	r-hyp-4	2.23	train
north	direction	N	hyp-3	5.29	train
sardine	food	N	hyp-3	5.70	train
tornado	typhoon	N	cohyp	2.85	train
cod	fish	N	hyp-4	5.54	train
kitchen	bedroom	N	cohyp	0.79	train
gravel	stone	N	hyp-1	5.00	train
hero	villain	N	cohyp	0.80	train
term	period	N	hyp-1	4.27	train
square	shape	N	hyp-4	5.50	train
limb	tree	N	mero	0.91	train
lava	rock	N	hyp-3	3.07	train
carpenter	worker	N	hyp-4	5.73	train
rent	payment	N	hyp-4	4.55	train
book	atlas	N	r-hyp-2	0.82	train
anatomy	science	N	hyp-4	5.50	train
power	clay	N	no-rel	0.33	train
onion	food	N	hyp-3	5.92	train
gender	sex	N	syn	3.45	train
fraternity	group	N	hyp-3	5.23	train
puberty	youth	N	cohyp	3.58	train
squash	meaning	N	no-rel	0.15	train
elephant	lecture	N	no-rel	0.17	train
goose	turkey	N	cohyp	0.46	train
tractor	truck	N	hyp-1	3.67	train
recliner	furniture	N	hyp-4	5.46	train
quill	porcupine	N	mero	1.46	train
lace	shoe	N	mero	1.08	train
intelligence	knowledge	N	hyp-2	2.69	train
cabbage	food	N	hyp-4	6.00	train
child	family	N	mero	2.73	train
product	harbor	N	no-rel	0.38	train
niece	son	N	no-rel	0.25	train
subtraction	addition	N	ant	0.92	train
politician	governor	N	r-hyp-1	2.21	train
semester	hour	N	cohyp	0.45	train
disorder	order	N	ant	1.92	train
chili	pepper	N	hyp-2	5.00	train
sport	volleyball	N	r-hyp-3	0.38	train
gin	liquor	N	hyp-1	5.85	train
cat	animal	N	hyp-4	6.00	train
circle	shape	N	hyp-4	6.00	train
pitcher	container	N	hyp-2	5.08	train
lion	tiger	N	cohyp	1.27	train
insurance	safety	N	hyp-3	3.33	train
test	exam	N	syn	5.33	train
jug	container	N	hyp-3	5.42	train
diary	journal	N	syn	5.00	train
raccoon	animal	N	hyp-4	5.73	train
lieutenant	captain	N	cohyp	1.50	train
atom	matter	N	hyp-2	5.62	train
dilemma	confusion	N	hyp-2	3.54	train
marriage	ritual	N	hyp-1	4.31	train
discipline	punishment	N	hyp-1	4.62	train
clam	seafood	N	hyp-2	5.60	train
clam	mussel	N	cohyp	3.38	train
pavement	sidewalk	N	mero	4.15	train
bang	noise	N	hyp-1	5.46	train
squad	team	N	syn	5.64	train
steel	blade	N	syn	2.80	train
arrow	wound	N	no-rel	0.30	train
amateur	expert	N	cohyp	0.85	train
executive	person	N	hyp-3	4.91	train
mayor	person	N	hyp-3	4.00	train
drawing	painting	N	cohyp	2.00	train
fox	animal	N	hyp-4	5.92	train
prom	party	N	hyp-3	5.42	train
captain	officer	N	hyp-3	4.93	train
tip	pencil	N	mero	0.30	train
destiny	sailor	N	no-rel	0.08	train
passage	grasshopper	N	no-rel	0.00	train
truck	vehicle	N	hyp-4	5.54	train
almond	peanut	N	cohyp	1.20	train
education	school	N	r-hyp-1	2.00	train
cleaner	soap	N	r-hyp-1	1.73	train
destiny	dress	N	no-rel	0.15	train
bumper	car	N	mero	1.42	train
lodge	inn	N	syn	4.15	train
driver	antler	N	no-rel	0.15	train
jewel	gem	N	syn	4.08	train
green	blue	N	cohyp	0.73	train
motorcycle	bike	N	syn	5.40	train
screw	nail	N	cohyp	1.30	train
decade	era	N	cohyp	4.71	train
sketch	drawing	N	hyp-1	5.10	train
cure	treatment	N	mero	3.58	train
weight	quantity	N	hyp-2	4.46	train
trauma	condition	N	hyp-2	4.50	train
zero	number	N	hyp-3	5.82	train
beginning	end	N	ant	1.54	train
primate	animal	N	hyp-4	5.00	train
catastrophe	tragedy	N	syn	4.71	train
professor	staff	N	mero	4.55	train
girl	woman	N	hyp-1	4.70	train
bed	furniture	N	hyp-2	5.85	train
trip	journey	N	hyp-1	5.33	train
bracelet	necklace	N	cohyp	0.93	train
parent	family	N	mero	4.00	train
head	foot	N	ant	0.33	train
time	era	N	r-hyp-2	2.82	train
spy	agent	N	hyp-2	4.80	train
company	organization	N	hyp-2	5.50	train
weapon	gun	N	r-hyp-1	2.17	train
lemon	citrus	N	hyp-1	5.64	train
excise	tax	N	hyp-2	3.90	train
snake	weakness	N	no-rel	1.08	train
hypothesis	pool	N	no-rel	0.36	train
leopard	tiger	N	cohyp	0.69	train
dusk	evening	N	mero	4.67	train
strawberry	blueberry	N	cohyp	0.85	train
son	child	N	hyp-2	5.36	train
bunch	group	N	hyp-3	4.92	train
magazine	newspaper	N	cohyp	2.38	train
homework	instruction	N	mero	1.92	train
dagger	weapon	N	hyp-2	5.91	train
fabric	silk	N	r-hyp-1	1.23	train
migraine	headache	N	hyp-1	5.15	train
flame	pleasure	N	no-rel	0.55	train
liver	heart	N	cohyp	0.33	train
beer	liquid	N	hyp-4	5.38	train
four	number	N	hyp-3	5.69	train
tenor	loser	N	no-rel	0.10	train
winter	summer	N	cohyp	0.55	train
gauge	sidewalk	N	no-rel	0.67	train
ring	jewelry	N	hyp-1	6.00	train
sea	water	N	hyp-1	4.70	train
crest	peak	N	syn	3.58	train
mass	ceremony	N	hyp-2	4.93	train
politician	senator	N	r-hyp-2	1.78	train
uncle	aunt	N	ant	0.17	train
blessing	approval	N	syn	5.20	train
product	sum	N	cohyp	3.23	train
goose	bird	N	hyp-4	5.54	train
violin	instrument	N	hyp-3	5.92	train
sapphire	gem	N	hyp-2	5.92	train
instrument	tuba	N	r-hyp-2	0.33	train
army	democracy	N	no-rel	0.92	train
force	gravity	N	r-hyp-2	2.15	train
writer	poet	N	r-hyp-1	2.33	train
school	education	N	hyp-1	4.75	train
intestine	liver	N	cohyp	0.85	train
boulevard	street	N	hyp-1	5.17	train
death	end	N	hyp-1	5.00	train
formula	equation	N	cohyp	3.62	train
athlete	runner	N	r-hyp-1	2.20	train
aura	light	N	hyp-1	3.69	train
toilet	bathroom	N	mero	2.50	train
pill	medication	N	hyp-2	4.70	train
man	primate	N	hyp-2	5.67	train
bed	bedroom	N	mero	0.18	train
head	arrow	N	mero	1.00	train
faith	loyalty	N	hyp-1	3.85	train
cancer	disease	N	hyp-3	5.92	train
sitting	standing	N	cohyp	0.15	train
lunch	food	N	hyp-3	3.69	train
condition	state	N	hyp-1	2.55	train
knee	joint	N	hyp-3	5.33	train
chemist	scientist	N	hyp-1	4.54	train
author	creator	N	hyp-2	5.50	train
chain	bond	N	hyp-2	4.25	train
navigator	explorer	N	hyp-1	4.08	train
frog	animal	N	hyp-4	5.92	train
present	future	N	cohyp	0.62	train
wolf	creature	N	hyp-4	5.36	train
volleyball	activity	N	hyp-4	4.86	train
knitting	craft	N	hyp-2	5.80	train
symptom	orchid	N	no-rel	0.08	train
glacier	iceberg	N	cohyp	3.90	train
therapy	treatment	N	hyp-2	5.50	train
physiology	study	N	hyp-4	5.14	train
loft	house	N	mero	2.46	train
position	location	N	hyp-2	4.38	train
grove	group	N	hyp-4	2.15	train
antidote	drug	N	hyp-3	4.75	train
hearing	sight	N	cohyp	1.00	train
person	people	N	mero	3.80	train
soda	liquid	N	hyp-3	5.90	train
soda	beverage	N	hyp-2	5.71	train
north	south	N	cohyp	0.54	train
maximum	extremity	N	hyp-2	3.56	train
parade	march	N	cohyp	4.62	train
shelf	cabinet	N	mero	1.31	train
blockade	barrier	N	cohyp	5.90	train
ankle	joint	N	hyp-3	5.08	train
suggestion	idea	N	hyp-1	5.10	train
instrument	trumpet	N	r-hyp-3	1.64	train
glove	mitten	N	r-hyp-1	1.85	train
pizza	food	N	hyp-3	6.00	train
twilight	evening	N	mero	3.92	train
warehouse	storage	N	hyp-1	4.77	train
abundance	scarcity	N	ant	2.14	train
pail	bucket	N	syn	4.00	train
paper	material	N	hyp-1	5.58	train
plum	pear	N	cohyp	0.18	train
squash	game	N	hyp-3	5.45	train
sorrow	joy	N	ant	0.60	train
copper	wallet	N	no-rel	0.15	train
failure	success	N	ant	1.46	train
solution	mixture	N	hyp-1	3.91	train
couple	pair	N	hyp-1	5.45	train
possum	animal	N	hyp-4	5.93	train
amount	quantity	N	syn	4.70	train
soccer	sport	N	hyp-3	5.92	train
prison	jail	N	cohyp	5.38	train
seafood	mussel	N	r-hyp-2	0.60	train
myth	legend	N	cohyp	3.77	train
cavity	tooth	N	cohyp	1.36	train
camera	anatomy	N	no-rel	0.23	train
legislature	legion	N	no-rel	0.46	train
restriction	rule	N	hyp-1	5.18	train
sincerity	honesty	N	hyp-2	4.79	train
maximum	limit	N	hyp-1	3.82	train
protein	milk	N	mero	1.14	train
wolf	animal	N	hyp-4	5.92	train
column	line	N	hyp-2	2.77	train
potato	tomato	N	cohyp	0.18	train
recliner	seat	N	hyp-3	4.73	train
attic	house	N	mero	0.86	train
music	sound	N	hyp-1	5.64	train
strawberry	food	N	hyp-4	5.46	train
rectangle	square	N	r-hyp-1	1.85	train
owl	bird	N	hyp-2	6.00	train
supermarket	grocery	N	hyp-1	2.36	train
frog	toad	N	syn	1.36	train
section	unit	N	hyp-2	3.60	train
evidence	answer	N	no-rel	3.31	train
rim	wheel	N	mero	1.64	train
package	envelope	N	cohyp	1.92	train
snail	animal	N	hyp-4	5.17	train
blast	explosion	N	hyp-1	5.00	train
parent	ancestor	N	hyp-3	4.20	train
robin	bird	N	hyp-4	6.00	train
vest	sweater	N	cohyp	3.50	train
tuxedo	dress	N	hyp-2	2.20	train
fluid	keyboard	N	no-rel	0.00	train
orange	tree	N	hyp-4	2.82	train
person	reader	N	r-hyp-2	2.00	train
conference	meeting	N	hyp-1	5.54	train
ant	insect	N	hyp-2	6.00	train
engagement	commitment	N	hyp-2	5.33	train
helmet	pocket	N	no-rel	0.40	train
moth	butterfly	N	cohyp	2.57	train
employee	worker	N	hyp-1	5.91	train
oak	wood	N	hyp-1	5.54	train
cannon	gun	N	hyp-1	3.91	train
copper	brass	N	mero	2.38	train
patience	impatience	N	ant	2.43	train
committee	group	N	hyp-4	5.10	train
waitress	server	N	hyp-1	5.69	train
dolphin	mammal	N	hyp-4	5.38	train
editorial	newspaper	N	mero	2.00	train
sword	weapon	N	hyp-1	5.69	train
human	animal	N	hyp-4	5.27	train
beam	support	N	hyp-2	5.57	train
feeling	jealousy	N	r-hyp-4	1.45	train
opponent	chorus	N	no-rel	0.17	train
suede	leather	N	hyp-1	4.36	train
race	competition	N	hyp-1	5.14	train
cliff	drop	N	syn	2.92	train
cobbler	pie	N	hyp-1	3.29	train
brown	green	N	cohyp	0.77	train
substance	water	N	r-hyp-4	1.27	train
twilight	dusk	N	syn	4.09	train
horn	bull	N	mero	0.67	train
digit	number	N	hyp-2	4.17	train
pane	window	N	mero	2.08	train
husband	spouse	N	hyp-1	5.73	train
skin	hair	N	cohyp	1.17	train
contract	document	N	hyp-3	5.83	train
joker	card	N	hyp-2	5.55	train
four	two	N	cohyp	0.27	train
repentance	sorrow	N	hyp-2	3.42	train
trauma	injury	N	syn	5.00	train
silk	material	N	hyp-1	5.92	train
limousine	migraine	N	no-rel	0.15	train
trigonometry	algebra	N	cohyp	1.85	train
mother	adult	N	hyp-3	5.00	train
plaything	toy	N	syn	3.40	train
ape	beast	N	hyp-4	5.09	train
vegetable	spinach	N	r-hyp-1	0.33	train
clue	hint	N	syn	4.46	train
education	empire	N	no-rel	1.00	train
father	fiddle	N	no-rel	0.31	train
dime	nickel	N	cohyp	0.43	train
crook	sickness	N	no-rel	1.17	train
vault	summit	N	no-rel	0.79	train
extremity	leg	N	r-hyp-2	2.08	train
nomad	person	N	hyp-3	5.18	train
jack	card	N	hyp-3	5.20	train
princess	status	N	no-rel	4.64	train
stick	stalk	N	hyp-3	1.80	train
murderer	thief	N	cohyp	2.00	train
foundation	base	N	syn	4.62	train
chess	game	N	hyp-3	5.62	train
god	being	N	hyp-4	4.78	train
existence	life	N	r-hyp-1	4.00	train
meal	pen	N	no-rel	0.10	train
camel	animal	N	hyp-4	6.00	train
fungus	kindness	N	no-rel	0.15	train
carpet	rug	N	syn	3.27	train
mushroom	fungus	N	hyp-3	5.33	train
hell	inferno	N	syn	3.17	train
happening	linen	N	no-rel	0.09	train
focus	attention	N	hyp-2	4.91	train
orchid	flower	N	hyp-1	5.92	train
pancake	waffle	N	cohyp	1.69	train
microscope	telescope	N	cohyp	1.70	train
noun	verb	N	cohyp	0.00	train
balance	account	N	mero	2.08	train
motion	action	N	hyp-2	4.64	train
caption	technique	N	no-rel	1.00	train
earnestness	sincerity	N	syn	4.14	train
puff	wind	N	hyp-2	2.73	train
unit	group	N	hyp-3	4.15	train
gander	biology	N	no-rel	0.58	train
nine	number	N	hyp-3	5.45	train
quotient	amount	N	hyp-3	4.42	train
walrus	mammal	N	hyp-4	5.90	train
rifle	pistol	N	cohyp	2.23	train
grace	goodness	N	hyp-2	3.55	train
shrub	plant	N	hyp-3	5.54	train
oven	appliance	N	hyp-3	5.90	train
wall	room	N	mero	0.50	train
hand	arm	N	mero	0.09	train
girl	boy	N	ant	0.10	train
existence	being	N	syn	4.69	train
wing	bat	N	mero	0.23	train
boyfriend	lover	N	hyp-1	5.38	train
jury	court	N	mero	1.80	train
leg	knee	N	cohyp	1.23	train
chain	bicycle	N	mero	0.71	train
nicotine	tobacco	N	mero	2.00	train
mother	woman	N	hyp-2	4.93	train
stream	oxygen	N	no-rel	0.46	train
louse	bug	N	cohyp	4.80	train
sunday	weekend	N	mero	3.20	train
bristle	brush	N	mero	2.31	train
worker	farmer	N	r-hyp-3	1.30	train
bulletin	news	N	hyp-2	4.31	train
bridge	cross	N	cohyp	0.77	train
doll	toy	N	hyp-1	5.93	train
beef	cattle	N	hyp-1	4.00	train
architecture	structure	N	hyp-2	3.50	train
treatment	medication	N	r-hyp-3	2.17	train
ceremony	graduation	N	r-hyp-2	1.80	train
enemy	friend	N	ant	0.93	train
alto	voice	N	hyp-2	4.90	train
celery	food	N	hyp-3	5.58	train
house	structure	N	hyp-2	4.82	train
perception	vision	N	r-hyp-2	3.75	train
king	leader	N	hyp-3	5.20	train
elevator	building	N	mero	0.62	train
computer	machine	N	hyp-1	5.90	train
reflection	thought	N	hyp-2	5.80	train
seal	mammal	N	hyp-4	5.15	train
princess	fortune	N	no-rel	1.15	train
