word1	word2	label	relation	fold
lion	dolphin	False	other	test
artillery	donkey	False	other	test
deer	herbivore	True	hyper	test
cockroach	creature	True	hyper	test
vertebrate	vulture	False	other	test
cucumber	garlic	False	other	test
cat	carnivore	True	hyper	test
steel	saw	False	other	test
banjo	flute	False	other	test
cat	creature	True	hyper	test
lodging	cottage	False	other	test
frog	beast	True	hyper	test
washer	appliance	True	hyper	test
glove	clothes	True	hyper	test
moth	dairy	False	other	test
bag	object	True	hyper	test
hotel	edifice	True	hyper	test
chair	artifact	True	hyper	test
owl	raptor	True	hyper	test
device	television	False	other	test
bus	artifact	True	hyper	test
object	table	False	other	test
fridge	artifact	True	hyper	test
turtle	animal	True	hyper	test
institution	library	False	other	test
woodpecker	vertebrate	True	hyper	test
object	guitar	False	other	test
castle	building	True	hyper	test
swan	crow	False	other	test
rat	creature	True	hyper	test
swan	robin	False	other	test
pig	sheep	False	other	test
button	blouse	False	other	test
television	object	True	hyper	test
corn	cereal	True	hyper	test
artifact	van	False	other	test
television	system	True	hyper	test
bear	cat	False	other	test
villa	pub	False	other	test
freezer	directory	False	other	test
tail	cod	False	other	test
topside	battleship	False	other	test
chameleon	lizard	False	other	test
metal	sieve	False	other	test
train	artefact	True	hyper	test
something	robe	False	other	test
oven	good	True	hyper	test
apricot	produce	True	hyper	test
goldfish	creature	True	hyper	test
shirt	underpants	False	other	test
couch	furniture	True	hyper	test
herbivore	cow	False	other	test
cloak	apparel	True	hyper	test
bed	furniture	True	hyper	test
cow	hoof	False	other	test
shovel	artefact	True	hyper	test
trumpet	device	True	hyper	test
artefact	sieve	False	other	test
pistol	device	True	hyper	test
stocking	sweater	False	other	test
oven	import	False	other	test
bomber	aeroplane	True	hyper	test
furnishing	sofa	False	other	test
stocking	vest	False	other	test
durability	jet	False	other	test
goldfish	animal	True	hyper	test
alligator	frog	False	other	test
inside	dishwasher	False	other	test
stool	chair	False	other	test
deer	beast	True	hyper	test
glider	transport	True	hyper	test
dog	bear	False	other	test
firearm	revolver	False	other	test
hawk	creature	True	hyper	test
strawberry	fruit	True	hyper	test
falcon	creature	True	hyper	test
goose	continuum	False	other	test
catfish	vertebrate	True	hyper	test
creature	dolphin	False	other	test
appliance	television	False	other	test
bird	woodpecker	False	other	test
vessel	mug	False	other	test
elephant	beaver	False	other	test
grenade	arm	True	hyper	test
yacht	train	False	other	test
axe	tool	True	hyper	test
radio	artefact	True	hyper	test
truck	transport	True	hyper	test
knife	kitchenware	True	hyper	test
hat	robe	False	other	test
spoon	empathy	False	other	test
accommodation	cottage	False	other	test
parsley	produce	True	hyper	test
good	cloak	False	other	test
swan	waterfowl	True	hyper	test
copper	flute	False	other	test
motorcycle	artefact	True	hyper	test
vertebrate	sheep	False	other	test
guitar	artifact	True	hyper	test
vitamin	lemon	False	other	test
glider	aircraft	True	hyper	test
shovel	utensil	True	hyper	test
blouse	wear	True	hyper	test
airplane	jet	False	other	test
grapefruit	fruit	True	hyper	test
vertebrate	frog	False	other	test
glove	accessory	True	hyper	test
pet	turtle	False	other	test
parsley	vegetable	True	hyper	test
food	lettuce	False	other	test
microphone	bottle	False	other	test
radio	canvas	False	other	test
scarf	garrison	False	other	test
owner	cottage	False	other	test
flute	instrument	True	hyper	test
crow	animal	True	hyper	test
radio	stereo	False	other	test
shirt	garment	True	hyper	test
whale	creature	True	hyper	test
car	artifact	True	hyper	test
transport	train	False	other	test
shovel	smile	False	other	test
cedar	evergreen	True	hyper	test
villa	wood	False	other	test
tiger	bull	False	other	test
computer	stereo	False	other	test
bear	vertebrate	True	hyper	test
pub	construction	True	hyper	test
swan	overdraft	False	other	test
elephant	animal	True	hyper	test
gun	pistol	False	other	test
object	robe	False	other	test
spoon	axe	False	other	test
rabbit	audit	False	other	test
salmon	goldfish	False	other	test
battleship	warship	True	hyper	test
truck	artifact	True	hyper	test
grape	food	True	hyper	test
garlic	seasoning	True	hyper	test
dial	phone	False	other	test
animal	pheasant	False	other	test
sofa	declaration	False	other	test
bottle	object	True	hyper	test
ambulance	runner-up	False	other	test
van	conveyance	True	hyper	test
cloth	table	False	other	test
pine	evergreen	True	hyper	test
bazooka	gun	False	other	test
herring	creature	True	hyper	test
building	villa	False	other	test
equipment	radio	False	other	test
alligator	eye	False	other	test
bomb	weapon	True	hyper	test
wasp	beetle	False	other	test
artifact	radio	False	other	test
device	saxophone	False	other	test
cauliflower	rainbow	False	other	test
beak	pheasant	False	other	test
motorcycle	conveyance	True	hyper	test
castle	home	True	hyper	test
tuna	seafood	True	hyper	test
kitchenware	spoon	False	other	test
food	rabbit	False	other	test
animal	trout	False	other	test
tanker	craft	True	hyper	test
dresser	artefact	True	hyper	test
bag	luggage	True	hyper	test
revolver	merchandising	False	other	test
train	conveyance	True	hyper	test
horse	vertebrate	True	hyper	test
ferry	vessel	True	hyper	test
trip	bowl	False	other	test
fleece	coat	False	other	test
piano	furniture	True	hyper	test
cottage	housing	True	hyper	test
pineapple	food	True	hyper	test
fork	saw	False	other	test
fruit	apple	False	other	test
cottage	building	True	hyper	test
dishwasher	device	True	hyper	test
warehouse	villa	False	other	test
potato	produce	True	hyper	test
lime	fruit	True	hyper	test
fridge	phone	False	other	test
covering	glove	False	other	test
tanker	ferry	False	other	test
elevator	library	False	other	test
glove	bonfire	False	other	test
scarf	fabric	False	other	test
saxophone	artifact	True	hyper	test
glove	artifact	True	hyper	test
bull	ruminant	True	hyper	test
missile	rocket	True	hyper	test
vehicle	bomber	False	other	test
pistol	weapon	True	hyper	test
shirt	clothes	True	hyper	test
goose	bird	True	hyper	test
revolver	artifact	True	hyper	test
stripe	lizard	False	other	test
woodpecker	creature	True	hyper	test
coat	opposition	False	other	test
cannon	device	True	hyper	test
fighter	warplane	True	hyper	test
bird	pigeon	False	other	test
radish	vinyl	False	other	test
cow	cattle	True	hyper	test
guitar	trumpet	False	other	test
jacket	garment	True	hyper	test
beetle	bug	True	hyper	test
fighter	conveyance	True	hyper	test
wardrobe	characteristic	False	other	test
dolphin	vertebrate	True	hyper	test
inside	truck	False	other	test
blouse	commodity	True	hyper	test
alligator	reptile	True	hyper	test
pheasant	game	True	hyper	test
owl	pigeon	False	other	test
rifle	firearm	True	hyper	test
good	fridge	False	other	test
salmon	fish	True	hyper	test
animal	owl	False	other	test
bull	creature	True	hyper	test
jet	craft	True	hyper	test
carrot	ssa	False	other	test
turnip	dyslexia	False	other	test
cat	pet	True	hyper	test
lion	carnivore	True	hyper	test
onion	dresser	False	other	test
bull	tail	False	other	test
spinach	food	True	hyper	test
cockroach	bust	False	other	test
jet	plane	True	hyper	test
mammal	deer	False	other	test
spoon	wrench	False	other	test
plum	fruit	True	hyper	test
goldfish	vertebrate	True	hyper	test
cat	animal	True	hyper	test
trout	fish	True	hyper	test
silk	blouse	False	other	test
visitor	castle	False	other	test
spoon	screwdriver	False	other	test
inflow	catfish	False	other	test
giraffe	vertebrate	True	hyper	test
citrus	lime	False	other	test
lemon	citrus	True	hyper	test
advantage	sword	False	other	test
dolphin	tuna	False	other	test
turnip	radish	False	other	test
spade	submissiveness	False	other	test
cherry	produce	True	hyper	test
falcon	bird	True	hyper	test
battleship	vehicle	True	hyper	test
fruit	lemon	False	other	test
vehicle	helicopter	False	other	test
herring	seafood	True	hyper	test
villa	site	True	hyper	test
yacht	artefact	True	hyper	test
villa	lodging	True	hyper	test
hornet	insect	True	hyper	test
glove	good	True	hyper	test
fighter	aircraft	True	hyper	test
alcohol	cottage	False	other	test
whale	cod	False	other	test
robin	animal	True	hyper	test
creature	horse	False	other	test
fork	tool	True	hyper	test
engine	missile	False	other	test
villa	structure	True	hyper	test
telephone	television	False	other	test
mug	bottle	False	other	test
potato	vegetable	True	hyper	test
jacket	raincoat	False	other	test
stalk	broccoli	False	other	test
fridge	device	True	hyper	test
vertebrate	goose	False	other	test
carrot	produce	True	hyper	test
vitamin	carrot	False	other	test
glove	historian	False	other	test
bull	vertebrate	True	hyper	test
arm	jacket	False	other	test
site	hospital	False	other	test
jet	vehicle	True	hyper	test
revolver	device	True	hyper	test
hawk	predator	True	hyper	test
chair	wardrobe	False	other	test
sofa	object	True	hyper	test
scholar	missile	False	other	test
stereo	equipment	True	hyper	test
ship	battleship	False	other	test
robe	ruminant	False	other	test
carrot	root	True	hyper	test
hatchet	cutlery	True	hyper	test
good	stove	False	other	test
freezer	artifact	True	hyper	test
screwdriver	artefact	True	hyper	test
tiger	homeland	False	other	test
giraffe	violin	False	other	test
hammer	utensil	True	hyper	test
garment	cloak	False	other	test
stove	object	True	hyper	test
canoe	ferry	False	other	test
artifact	motorcycle	False	other	test
dove	bounce	False	other	test
fork	tooth	False	other	test
cranberry	quarantine	False	other	test
top	piano	False	other	test
dress	garment	True	hyper	test
shirt	object	True	hyper	test
jar	cookie	False	other	test
robe	hat	False	other	test
sweater	underpants	False	other	test
horse	beast	True	hyper	test
fox	mammal	True	hyper	test
volunteer	fighter	False	other	test
pig	animal	True	hyper	test
learner	fridge	False	other	test
cottage	habitation	True	hyper	test
jacket	cloak	False	other	test
buffalo	cow	False	other	test
turtle	beast	True	hyper	test
cypress	plant	True	hyper	test
fork	hatchet	False	other	test
goat	vertebrate	True	hyper	test
fruit	cherry	False	other	test
fox	giraffe	False	other	test
sparrow	football	False	other	test
cloak	artefact	True	hyper	test
plant	elm	False	other	test
vertebrate	beaver	False	other	test
oven	device	True	hyper	test
freezer	device	True	hyper	test
van	crime	False	other	test
knife	artefact	True	hyper	test
dress	clothes	True	hyper	test
banana	fruit	True	hyper	test
acacia	tree	True	hyper	test
fraction	scarf	False	other	test
sheep	beast	True	hyper	test
artefact	bomber	False	other	test
stocking	dress	False	other	test
sweater	wear	True	hyper	test
owl	veracity	False	other	test
bee	ant	False	other	test
tail	fox	False	other	test
saw	utensil	True	hyper	test
jacket	scrutiny	False	other	test
vest	artefact	True	hyper	test
bomber	helicopter	False	other	test
chair	object	True	hyper	test
robe	covering	True	hyper	test
clothes	hat	False	other	test
exterior	bottle	False	other	test
beet	produce	True	hyper	test
radish	vegetable	True	hyper	test
circuit	television	False	other	test
shovel	artifact	True	hyper	test
hammer	object	True	hyper	test
spade	object	True	hyper	test
hornet	effectiveness	False	other	test
jet	artefact	True	hyper	test
authorisation	dagger	False	other	test
snake	reptile	True	hyper	test
villa	accommodation	True	hyper	test
library	edifice	True	hyper	test
coyote	carnivore	True	hyper	test
lettuce	produce	True	hyper	test
coat	good	True	hyper	test
elephant	herbivore	True	hyper	test
rifle	weapon	True	hyper	test
phone	gadget	True	hyper	test
creature	giraffe	False	other	test
deer	creature	True	hyper	test
scavenger	crow	False	other	test
store	hotel	False	other	test
carp	trespasser	False	other	test
steel	wrench	False	other	test
donkey	beast	True	hyper	test
mackerel	food	True	hyper	test
helicopter	aircraft	True	hyper	test
falcon	claw	False	other	test
whale	windshield	False	other	test
bomber	artifact	True	hyper	test
stereo	commodity	True	hyper	test
cow	ruminant	True	hyper	test
stove	commodity	True	hyper	test
shirt	artifact	True	hyper	test
animal	hawk	False	other	test
cod	vertebrate	True	hyper	test
dove	pheasant	False	other	test
produce	cucumber	False	other	test
wardrobe	artefact	True	hyper	test
screwdriver	utensil	True	hyper	test
blouse	arm	False	other	test
stereo	reservation	False	other	test
instrument	cello	False	other	test
leek	potato	False	other	test
artifact	desk	False	other	test
artifact	bomb	False	other	test
cloak	trousers	False	other	test
hammer	fork	False	other	test
bowl	aim	False	other	test
transport	bus	False	other	test
screwdriver	drain	False	other	test
plum	apple	False	other	test
tuna	goldfish	False	other	test
bird	sparrow	False	other	test
vest	good	True	hyper	test
trout	vertebrate	True	hyper	test
artifact	screwdriver	False	other	test
pig	counterpart	False	other	test
pineapple	produce	True	hyper	test
guitar	liturgy	False	other	test
apricot	fruit	True	hyper	test
object	dresser	False	other	test
sieve	kitchenware	True	hyper	test
cod	gender	False	other	test
jar	plate	False	other	test
goat	antelope	False	other	test
mosquito	cockroach	False	other	test
back	couch	False	other	test
object	vest	False	other	test
bomber	airplane	True	hyper	test
creature	goat	False	other	test
boat	yacht	False	other	test
coat	artifact	True	hyper	test
iron	spade	False	other	test
coat	artefact	True	hyper	test
bird	owl	False	other	test
robe	garment	True	hyper	test
robe	front	False	other	test
pine	tooling	False	other	test
lime	strawberry	False	other	test
artifact	spade	False	other	test
revolver	steel	False	other	test
animal	eagle	False	other	test
produce	grape	False	other	test
circumcision	bag	False	other	test
grain	corn	False	other	test
van	vehicle	True	hyper	test
poplar	plant	True	hyper	test
goose	animal	True	hyper	test
ambulance	truck	False	other	test
knife	tableware	True	hyper	test
restaurant	construction	True	hyper	test
saw	artifact	True	hyper	test
cockroach	insect	True	hyper	test
fridge	test	False	other	test
eagle	vertebrate	True	hyper	test
elephant	creature	True	hyper	test
guitar	instrument	True	hyper	test
desk	furniture	True	hyper	test
maneuver	tiger	False	other	test
shovel	object	True	hyper	test
wood	hammer	False	other	test
rat	lion	False	other	test
pig	beast	True	hyper	test
transport	car	False	other	test
pheasant	pakistani	False	other	test
eagle	raptor	True	hyper	test
carp	animal	True	hyper	test
television	equipment	True	hyper	test
hospital	edifice	True	hyper	test
dress	zone	False	other	test
battleship	lack	False	other	test
artifact	sweater	False	other	test
eye	cow	False	other	test
blouse	apparel	True	hyper	test
dress	lace	False	other	test
grape	fruit	True	hyper	test
vertebrate	tuna	False	other	test
cathedral	edifice	True	hyper	test
herring	animal	True	hyper	test
helicopter	ambulance	False	other	test
horse	mammal	True	hyper	test
accommodation	castle	False	other	test
spear	artefact	True	hyper	test
scooter	vehicle	True	hyper	test
screwdriver	tool	True	hyper	test
cabbage	produce	True	hyper	test
cranberry	grapefruit	False	other	test
alligator	predator	True	hyper	test
bomb	thoroughfare	False	other	test
grasshopper	insect	True	hyper	test
couch	furnishing	True	hyper	test
vertebrate	herring	False	other	test
missile	artifact	True	hyper	test
catfish	seafood	True	hyper	test
glove	apparel	True	hyper	test
cloak	clothing	True	hyper	test
fish	goldfish	False	other	test
blouse	spider	False	other	test
tobacco	vest	False	other	test
fuse	bomb	False	other	test
car	artefact	True	hyper	test
grenade	glucose	False	other	test
produce	spinach	False	other	test
goat	beast	True	hyper	test
castle	house	True	hyper	test
spear	arm	True	hyper	test
device	gun	False	other	test
phone	artifact	True	hyper	test
peach	coconut	False	other	test
bed	peninsula	False	other	test
grenade	device	True	hyper	test
jacket	pulse	False	other	test
deer	ruminant	True	hyper	test
ridge	sweater	False	other	test
rat	animal	True	hyper	test
beak	crow	False	other	test
commodity	dress	False	other	test
boy	glider	False	other	test
hat	garment	True	hyper	test
gun	arm	True	hyper	test
dolphin	parliament	False	other	test
carrot	food	True	hyper	test
grapefruit	pineapple	False	other	test
collar	shirt	False	other	test
artifact	bag	False	other	test
bird	penguin	False	other	test
bomber	setting	False	other	test
tightrope	hotel	False	other	test
phone	device	True	hyper	test
gun	artifact	True	hyper	test
bear	fur	False	other	test
root	acacia	False	other	test
dress	artefact	True	hyper	test
spoon	head	False	other	test
donkey	herbivore	True	hyper	test
end	shovel	False	other	test
clove	garlic	False	other	test
cat	goat	False	other	test
couch	object	True	hyper	test
glove	artefact	True	hyper	test
robe	artefact	True	hyper	test
ant	insect	True	hyper	test
missile	grenade	False	other	test
speaker	radio	False	other	test
sheep	animal	True	hyper	test
radish	food	True	hyper	test
scarf	good	True	hyper	test
battleship	vessel	True	hyper	test
cloak	clothes	True	hyper	test
deer	bear	False	other	test
head	beetle	False	other	test
squirrel	rodent	True	hyper	test
elephant	triumph	False	other	test
animal	bear	False	other	test
bagpipe	guitar	False	other	test
wizard	spear	False	other	test
motorcycle	sauce	False	other	test
car	conveyance	True	hyper	test
food	beet	False	other	test
jacket	clothing	True	hyper	test
sweater	object	True	hyper	test
grape	apricot	False	other	test
squirrel	animal	True	hyper	test
trumpet	piano	False	other	test
mug	kitchenware	True	hyper	test
saxophone	artefact	True	hyper	test
snake	establishment	False	other	test
stereo	artifact	True	hyper	test
mug	object	True	hyper	test
sword	arm	True	hyper	test
washer	refrigerator	False	other	test
whale	vertebrate	True	hyper	test
hat	blouse	False	other	test
moth	grasshopper	False	other	test
joke	coat	False	other	test
spoon	artefact	True	hyper	test
grenade	weapon	True	hyper	test
phone	good	True	hyper	test
swan	creature	True	hyper	test
villa	habitation	True	hyper	test
television	good	True	hyper	test
ferry	boat	True	hyper	test
artifact	violin	False	other	test
bird	robin	False	other	test
dresser	plating	False	other	test
frigate	bomber	False	other	test
skin	dolphin	False	other	test
juice	cranberry	False	other	test
parsley	minibus	False	other	test
elephant	hospital	False	other	test
car	vehicle	True	hyper	test
wear	scarf	False	other	test
beast	bull	False	other	test
dolphin	cetacean	True	hyper	test
generation	eagle	False	other	test
food	turtle	False	other	test
bottle	container	True	hyper	test
trout	food	True	hyper	test
goat	ear	False	other	test
beast	fox	False	other	test
hospital	building	True	hyper	test
cello	device	True	hyper	test
alligator	carnivore	True	hyper	test
pheasant	bird	True	hyper	test
scarf	covering	True	hyper	test
train	vehicle	True	hyper	test
lion	vertebrate	True	hyper	test
goat	mammal	True	hyper	test
axe	cutlery	True	hyper	test
oven	timer	False	other	test
cod	fish	True	hyper	test
fork	object	True	hyper	test
paw	lion	False	other	test
penguin	teddy	False	other	test
jet	color	False	other	test
coyote	animal	True	hyper	test
object	axe	False	other	test
bowl	artifact	True	hyper	test
hammer	tool	True	hyper	test
violin	artefact	True	hyper	test
dove	vertebrate	True	hyper	test
stove	device	True	hyper	test
ferry	motorcycle	False	other	test
hammer	artifact	True	hyper	test
restaurant	battle	False	other	test
falcon	underdog	False	other	test
sparrow	vertebrate	True	hyper	test
rabbit	mammal	True	hyper	test
castle	housing	True	hyper	test
radio	object	True	hyper	test
iron	knife	False	other	test
shirt	legend	False	other	test
spoon	cutlery	True	hyper	test
skin	pear	False	other	test
saw	object	True	hyper	test
knife	foreboding	False	other	test
fox	sub-committee	False	other	test
blouse	clothing	True	hyper	test
outside	hat	False	other	test
spade	tool	True	hyper	test
grasshopper	creature	True	hyper	test
sweater	button	False	other	test
tooth	snake	False	other	test
apple	food	True	hyper	test
spear	device	True	hyper	test
achiever	cannon	False	other	test
violin	instrument	True	hyper	test
grenade	object	True	hyper	test
launcher	axe	False	other	test
spade	artefact	True	hyper	test
gate	castle	False	other	test
construction	cathedral	False	other	test
elm	oak	False	other	test
tiger	carnivore	True	hyper	test
rabbit	squirrel	False	other	test
fighter	truck	False	other	test
bear	beast	True	hyper	test
swan	bird	True	hyper	test
castle	habitation	True	hyper	test
bus	conveyance	True	hyper	test
radio	system	True	hyper	test
stove	artifact	True	hyper	test
dagger	missile	False	other	test
cow	beast	True	hyper	test
object	phone	False	other	test
stereo	object	True	hyper	test
goldfish	pet	True	hyper	test
washer	object	True	hyper	test
tail	coyote	False	other	test
tree	cedar	False	other	test
vulture	scavenger	True	hyper	test
rabbit	leg	False	other	test
language	tuna	False	other	test
bag	artefact	True	hyper	test
castle	fortification	True	hyper	test
lizard	eye	False	other	test
cushion	chair	False	other	test
turtle	vertebrate	True	hyper	test
liberalization	falcon	False	other	test
spade	shovel	False	other	test
butterfly	affidavit	False	other	test
ketchup	knife	False	other	test
bomber	conveyance	True	hyper	test
strawberry	alibi	False	other	test
bowl	jar	False	other	test
lime	produce	True	hyper	test
garlic	produce	True	hyper	test
sieve	tool	True	hyper	test
robin	vertebrate	True	hyper	test
infiltration	deer	False	other	test
deer	bullshit	False	other	test
hat	good	True	hyper	test
peel	banana	False	other	test
artifact	grenade	False	other	test
beaver	creature	True	hyper	test
cod	salmon	False	other	test
oven	artefact	True	hyper	test
parsley	seasoning	True	hyper	test
catfish	gill	False	other	test
cypress	tree	True	hyper	test
cockroach	bug	True	hyper	test
alligator	snake	False	other	test
robe	clothing	True	hyper	test
roof	villa	False	other	test
head	cabbage	False	other	test
